,row ID,row m/z,match_id,match_smiles,mps0,pp0,pair_similarity0,mps1,pp1,pair_similarity1,mps2,pp2,pair_similarity2
32,3,462.1715916,CNP0027566,O=C(NC1CCN2C(=O)C3N(C(=O)C2C1)CC(OCC=C)C3)CS(=O)(=O)C=4C=CC=CC4,1.0,0.0625,0.07360072433948517,2.0,0.125,0.04201965779066086,0.0,0.0,0.0
33,3,462.1715916,CNP0028985,O=C(OCCCC[P+](C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3)C=4C=CC=CC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,3,462.1715916,CNP0317047,O=C(OC1COC2C1OCC2NS(=O)(=O)C3=CC=CC4=CC=CN=C43)NC5CCCCC5,0.0,0.0,0.0,3.0,0.1875,0.07929435058031231,1.0,0.0625,0.03615620732307434
35,3,462.1715916,CNP0205069,O=C(OC(=O)C1=C(C)CSC2N1C(=O)C2N=C(O)CC(N)C=3C=CC=CC3)OCC(C)C,0.0,0.0,0.0,2.0,0.125,0.01318921591155231,2.0,0.125,0.013485336443409324
36,3,462.1715916,CNP0196334,O=C(N)CN(C(=O)C1N(C(=O)C2=NC=CN=C2)CCC1NC(=O)NC3=CC=C(F)C=C3F)C,0.0,0.0,0.0,2.0,0.125,0.038301787339150906,3.0,0.1875,0.06474714074283838
37,3,462.1715916,CNP0276281,O=C1C(=CC=C2N1CC3CN(CC2C3)S(=O)(=O)C4=CC=C(OC)C=C4)NC(=O)CCOC,0.0,0.0,0.0,1.0,0.0625,0.006268559489399195,2.0,0.125,0.014087548479437828
38,3,462.1715916,CNP0181291,O=C1C(C(=O)CC2C3=C(OC)C=4OCOC4C=C3CCN2C)=C(O)N(C(=S)N1CC)CC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0010784190380945802
39,3,462.1715916,CNP0382225,O=C1OC2=C(C=CC=3OCN(C4=CC=C(OCC=5C=CC=CC5)C=C4)CC32)C(=C1)C=6C=CC=CC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3,462.1715916,CNP0384361,O=C1OC2=C(C=C3C(OCN(C4=CC=C(OC=5C=CC=CC5)C=C4)C3)=C2C)C(=C1)C=6C=CC=CC6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.01102476380765438
41,3,462.1715916,CNP0391269,O=C1OC2=C(C(OCC(=O)NCCC=3C=CC=CC3F)=CC=4OC(C)(C)CCC42)C(=C1)C,0.0,0.0,0.0,1.0,0.0625,0.017223842442035675,0.0,0.0,0.0
